ranking,dist_class,size_class,dist,size,status,taxon,state,user_category,user_login,taxon_species_name,taxon_group,latitude,longitude,size_scaled,dist_scaled,log_dist,growth
2,medium,small,16,14,LC,Aves,Cerro Largo,expert,luisvescia,Pachyramphus viridis,tetrapods,-32.3661519544,-54.1885828972,-0.43283162976569434,-0.24193758231335077,2.772588722239781,NA
2,medium,small,11,9,NT,Aves,Cerro Largo,expert,luisvescia,Picumnus nebulosus,tetrapods,-32.3661519544,-54.1885828972,-0.5141069394423197,-1.3605926102472934,2.3978952727983707,NA
2,wide,small,19,11,LC,Aves,Cerro Largo,expert,luisvescia,Pygochelidon cyanoleuca,tetrapods,-32.3661519544,-54.1885828972,-0.4815968155716695,0.4292554344470148,2.9444389791664403,NA
2,wide,small,19,16,LC,Aves,Cerro Largo,expert,luisvescia,Thamnophilus ruficapillus,tetrapods,-32.3661519544,-54.1885828972,-0.40032150589504417,0.4292554344470148,2.9444389791664403,NA
2,wide,medium,19,45,LC,Aves,Cerro Largo,expert,luisvescia,Aramides ypecaha,tetrapods,-32.3661519544,-54.1885828972,0.0710752902293826,0.4292554344470148,2.9444389791664403,NA
2,narrow,small,1,12,LC,Aves,Cerro Largo,expert,luisvescia,Heliobletus contaminatus,tetrapods,-32.1487905533,-53.7688862967,-0.46534175363634445,-3.5979026661151785,0,NA
2,wide,large,19,140,NT,Aves,Cerro Largo,expert,luisvescia,Rhea americana,tetrapods,-32.1961768644,-54.0017780196,1.6153061740852634,0.4292554344470148,2.9444389791664403,NA
2,wide,large,19,85,LC,Aves,Cerro Largo,expert,luisvescia,Ciconia maguari,tetrapods,-32.1962384316,-54.0026353207,0.721277767642385,0.4292554344470148,2.9444389791664403,NA
1,wide,small,19,34,NE,Reptilia,Río Negro,expert,santiagomailhos,Phrynops hilarii,tetrapods,-32.5309322682,-58.0380080799,-0.10773039105919308,0.4292554344470148,2.9444389791664403,NA
1,wide,medium,19,39,LC,Aves,Río Negro,expert,santiagomailhos,Egretta thula,tetrapods,-32.5309231331,-58.0380893898,-0.02645508138256777,0.4292554344470148,2.9444389791664403,NA
